my_title,Run,my_stage,Organism,treat,treatDescription,special,bleached,stress
E_Rosic2014_PRJNA266455,SRR1653615,adult,Acropora aspera,control,ambient 24 hrs,none,no,control
E_Rosic2014_PRJNA266455,SRR1654665,adult,Acropora aspera,control,ambient 24 hrs,none,no,control
E_Rosic2014_PRJNA266455,SRR1653613,adult,Acropora aspera,control,ambient 72 hrs,none,no,control
E_Rosic2014_PRJNA266455,SRR1654664,adult,Acropora aspera,control,ambient 72 hrs,none,no,control
E_Rosic2014_PRJNA266455,SRR1653611,adult,Acropora aspera,heat,6DegreeOverAmbient 24 hrs,none,no,stressed
E_Rosic2014_PRJNA266455,SRR1653608,adult,Acropora aspera,heat,6DegreeOverAmbient 72 hrs,none,no,stressed
H_Matz2015_PRJNA279192,SRR1929604,adult,Acropora millepora,heat,3 days at 31.5C,larvae_not_treated,no,stressed
H_Matz2015_PRJNA279192,SRR1929603,adult,Acropora millepora,heat,3 days at 31.5C,larvae_not_treated,no,stressed
H_Matz2015_PRJNA279192,SRR1929601,adult,Acropora millepora,control,3 days at 28C,larvae_not_treated,no,control
H_Matz2015_PRJNA279192,SRR1929602,adult,Acropora millepora,heat,3 days at 31.5C,larvae_not_treated,no,stressed
H_Matz2015_PRJNA279192,SRR1929600,adult,Acropora millepora,control,3 days at 28C,larvae_not_treated,no,control
H_Matz2015_PRJNA279192,SRR1929599,adult,Acropora millepora,control,3 days at 28C,larvae_not_treated,no,control
H_Matz2015_PRJNA279192,SRR1929598,adult,Acropora millepora,heat,3 days at 31.5C,larvae_not_treated,no,stressed
H_Matz2015_PRJNA279192,SRR1929597,adult,Acropora millepora,heat,3 days at 31.5C,larvae_not_treated,no,stressed
H_Matz2015_PRJNA279192,SRR1929596,adult,Acropora millepora,heat,3 days at 31.5C,larvae_not_treated,no,stressed
H_Matz2015_PRJNA279192,SRR1929595,adult,Acropora millepora,control,3 days at 28C,larvae_not_treated,no,control
H_Matz2015_PRJNA279192,SRR1929594,adult,Acropora millepora,control,3 days at 28C,larvae_not_treated,no,control
H_Matz2015_PRJNA279192,SRR1929593,adult,Acropora millepora,control,3 days at 28C,larvae_not_treated,no,control
H_Matz2015_PRJNA279192,SRR1929592,adult,Acropora millepora,heat,3 days at 31.5C,larvae_not_treated,no,stressed
H_Matz2015_PRJNA279192,SRR1929591,adult,Acropora millepora,heat,3 days at 31.5C,larvae_not_treated,no,stressed
H_Matz2015_PRJNA279192,SRR1929590,adult,Acropora millepora,heat,3 days at 31.5C,larvae_not_treated,no,stressed
H_Matz2015_PRJNA279192,SRR1929589,adult,Acropora millepora,control,3 days at 28C,larvae_not_treated,no,control
H_Matz2015_PRJNA279192,SRR1929588,adult,Acropora millepora,control,3 days at 28C,larvae_not_treated,no,control
H_Matz2015_PRJNA279192,SRR1929587,adult,Acropora millepora,control,3 days at 28C,larvae_not_treated,no,control
H_Matz2015_PRJNA279192,SRR1929586,adult,Acropora millepora,heat,3 days at 31.5C,larvae_not_treated,no,stressed
H_Matz2015_PRJNA279192,SRR1929585,adult,Acropora millepora,heat,3 days at 31.5C,larvae_not_treated,no,stressed
H_Matz2015_PRJNA279192,SRR1929584,adult,Acropora millepora,heat,3 days at 31.5C,larvae_not_treated,no,stressed
H_Matz2015_PRJNA279192,SRR1929583,adult,Acropora millepora,control,3 days at 28C,larvae_not_treated,no,control
H_Matz2015_PRJNA279192,SRR1929582,adult,Acropora millepora,control,3 days at 28C,larvae_not_treated,no,control
H_Matz2015_PRJNA279192,SRR1929581,adult,Acropora millepora,control,3 days at 28C,larvae_not_treated,no,control
L_Barshis2013_PRJNA177515,SRR629090,adult,Acropora hyacinthus,heat,01_h_HV,none,yes,stressed
L_Barshis2013_PRJNA177515,SRR629091,adult,Acropora hyacinthus,control,02_c_HV,none,yes,control
L_Barshis2013_PRJNA177515,SRR629092,adult,Acropora hyacinthus,heat,02_h_HV,none,yes,stressed
L_Barshis2013_PRJNA177515,SRR629093,adult,Acropora hyacinthus,control,03_c_HV,none,yes,control
L_Barshis2013_PRJNA177515,SRR629094,adult,Acropora hyacinthus,control,06_c_HV,none,yes,control
L_Barshis2013_PRJNA177515,SRR629096,adult,Acropora hyacinthus,control,09_c_HV,none,yes,control
