cladeA_1	c0_g1_i1
cladeA_2	c1_g1_i1
cladeA_3	c2_g1_i1
cladeA_4	c3_g1_i1
cladeA_5	c3_g1_i2
cladeA_6	c4_g1_i1
cladeA_7	c4_g1_i2
cladeA_8	c5_g1_i1
cladeA_9	c6_g1_i1
cladeA_10	c7_g1_i1
cladeA_11	c7_g1_i2
cladeA_12	c8_g1_i1
cladeA_13	c9_g1_i1
cladeA_14	c10_g1_i1
cladeA_15	c10_g1_i2
cladeA_16	c11_g1_i1
cladeA_17	c11_g1_i2
cladeA_18	c12_g1_i1
cladeA_19	c13_g1_i1
cladeA_20	c13_g1_i2
cladeA_21	c14_g1_i1
cladeA_22	c16_g1_i1
cladeA_23	c17_g1_i1
cladeA_24	c17_g1_i2
cladeA_25	c18_g1_i1
cladeA_26	c19_g1_i1
cladeA_27	c19_g1_i2
cladeA_28	c20_g1_i1
cladeA_29	c20_g1_i2
cladeA_30	c21_g1_i1
cladeA_31	c21_g1_i2
cladeA_32	c22_g1_i1
cladeA_33	c23_g1_i1
cladeA_34	c23_g1_i2
cladeA_35	c24_g1_i1
cladeA_36	c24_g1_i2
cladeA_37	c25_g1_i1
cladeA_38	c26_g1_i1
cladeA_39	c26_g1_i2
cladeA_40	c27_g1_i1
cladeA_41	c27_g1_i2
cladeA_42	c28_g1_i1
cladeA_43	c29_g1_i1
cladeA_44	c29_g1_i2
cladeA_45	c30_g1_i1
cladeA_46	c30_g1_i2
cladeA_47	c31_g1_i1
cladeA_48	c32_g1_i1
cladeA_49	c33_g1_i1
cladeA_50	c34_g1_i1
cladeA_51	c35_g1_i1
cladeA_52	c36_g1_i1
cladeA_53	c37_g1_i1
cladeA_54	c38_g1_i1
cladeA_55	c38_g1_i2
cladeA_56	c39_g1_i1
cladeA_57	c40_g1_i1
cladeA_58	c41_g1_i1
cladeA_59	c41_g1_i2
cladeA_60	c43_g1_i1
cladeA_61	c43_g2_i1
cladeA_62	c44_g1_i1
cladeA_63	c45_g1_i1
cladeA_64	c46_g1_i1
cladeA_65	c47_g1_i1
cladeA_66	c47_g1_i2
cladeA_67	c48_g1_i1
cladeA_68	c48_g1_i2
cladeA_69	c49_g1_i1
cladeA_70	c49_g1_i2
cladeA_71	c50_g1_i1
cladeA_72	c51_g1_i1
cladeA_73	c51_g1_i2
cladeA_74	c52_g1_i1
cladeA_75	c53_g1_i1
cladeA_76	c54_g1_i1
cladeA_77	c54_g1_i2
cladeA_78	c55_g1_i1
cladeA_79	c56_g1_i1
cladeA_80	c57_g1_i1
cladeA_81	c57_g1_i2
cladeA_82	c58_g1_i1
cladeA_83	c59_g1_i1
cladeA_84	c59_g1_i2
cladeA_85	c60_g1_i1
cladeA_86	c61_g1_i1
cladeA_87	c62_g1_i1
cladeA_88	c62_g1_i2
cladeA_89	c63_g1_i1
cladeA_90	c64_g1_i1
cladeA_91	c64_g1_i2
cladeA_92	c65_g1_i1
cladeA_93	c65_g1_i2
cladeA_94	c66_g1_i1
cladeA_95	c66_g1_i2
cladeA_96	c67_g1_i1
cladeA_97	c67_g1_i2
cladeA_98	c68_g1_i1
cladeA_99	c69_g1_i1
cladeA_100	c70_g1_i1
cladeA_101	c70_g1_i2
cladeA_102	c71_g1_i1
cladeA_103	c72_g1_i1
cladeA_104	c72_g1_i2
cladeA_105	c73_g1_i1
cladeA_106	c74_g1_i1
cladeA_107	c75_g1_i1
cladeA_108	c75_g2_i1
cladeA_109	c76_g1_i1
cladeA_110	c76_g1_i2
cladeA_111	c77_g1_i1
cladeA_112	c78_g1_i1
cladeA_113	c79_g1_i1
cladeA_114	c80_g1_i1
cladeA_115	c80_g1_i2
cladeA_116	c81_g1_i1
cladeA_117	c81_g1_i2
cladeA_118	c82_g1_i1
cladeA_119	c82_g1_i2
cladeA_120	c83_g1_i1
cladeA_121	c84_g1_i1
cladeA_122	c85_g1_i1
cladeA_123	c86_g1_i1
cladeA_124	c86_g1_i2
cladeA_125	c87_g1_i1
cladeA_126	c88_g1_i1
cladeA_127	c88_g1_i2
cladeA_128	c89_g1_i1
cladeA_129	c90_g1_i1
cladeA_130	c91_g1_i1
cladeA_131	c92_g1_i1
cladeA_132	c93_g1_i1
cladeA_133	c94_g1_i1
cladeA_134	c94_g1_i2
cladeA_135	c95_g1_i1
cladeA_136	c96_g1_i1
cladeA_137	c97_g1_i1
cladeA_138	c97_g1_i2
cladeA_139	c98_g1_i1
cladeA_140	c98_g1_i2
cladeA_141	c99_g1_i1
cladeA_142	c99_g1_i2
cladeA_143	c100_g1_i1
cladeA_144	c101_g1_i1
cladeA_145	c102_g1_i1
cladeA_146	c103_g1_i1
cladeA_147	c103_g1_i2
cladeA_148	c104_g1_i1
cladeA_149	c105_g1_i1
cladeA_150	c106_g1_i1
cladeA_151	c107_g1_i1
cladeA_152	c107_g1_i2
cladeA_153	c108_g1_i1
cladeA_154	c108_g1_i2
cladeA_155	c109_g1_i1
cladeA_156	c110_g1_i1
cladeA_157	c111_g1_i1
cladeA_158	c112_g1_i1
cladeA_159	c112_g1_i2
cladeA_160	c113_g1_i1
cladeA_161	c113_g1_i2
cladeA_162	c114_g1_i1
cladeA_163	c114_g1_i2
cladeA_164	c115_g1_i1
cladeA_165	c115_g1_i2
cladeA_166	c116_g1_i1
cladeA_167	c117_g1_i1
cladeA_168	c118_g1_i1
cladeA_169	c119_g1_i1
cladeA_170	c120_g1_i1
cladeA_171	c120_g1_i2
cladeA_172	c121_g1_i1
cladeA_173	c122_g1_i1
cladeA_174	c122_g1_i2
cladeA_175	c123_g1_i1
cladeA_176	c124_g1_i1
cladeA_177	c124_g1_i2
cladeA_178	c125_g1_i1
cladeA_179	c125_g1_i2
cladeA_180	c126_g1_i1
cladeA_181	c127_g1_i1
cladeA_182	c128_g1_i1
cladeA_183	c128_g1_i2
cladeA_184	c129_g1_i1
cladeA_185	c129_g1_i2
cladeA_186	c130_g1_i1
cladeA_187	c131_g1_i1
cladeA_188	c131_g1_i2
cladeA_189	c132_g1_i1
cladeA_190	c132_g1_i2
cladeA_191	c133_g1_i1
cladeA_192	c134_g1_i1
cladeA_193	c135_g1_i1
cladeA_194	c135_g1_i2
cladeA_195	c136_g1_i1
cladeA_196	c137_g1_i1
cladeA_197	c137_g1_i2
cladeA_198	c138_g1_i1
cladeA_199	c139_g1_i1
cladeA_200	c140_g1_i1
cladeA_201	c141_g1_i1
cladeA_202	c142_g1_i1
cladeA_203	c143_g1_i1
cladeA_204	c144_g1_i1
cladeA_205	c144_g1_i2
cladeA_206	c145_g1_i1
cladeA_207	c145_g1_i2
cladeA_208	c146_g1_i1
cladeA_209	c147_g1_i1
cladeA_210	c147_g1_i2
cladeA_211	c148_g1_i1
cladeA_212	c148_g1_i2
cladeA_213	c149_g1_i1
cladeA_214	c149_g1_i2
cladeA_215	c150_g1_i1
cladeA_216	c151_g1_i1
cladeA_217	c151_g1_i2
cladeA_218	c152_g1_i1
cladeA_219	c153_g1_i1
cladeA_220	c153_g1_i2
cladeA_221	c154_g1_i1
cladeA_222	c154_g1_i2
cladeA_223	c155_g1_i1
cladeA_224	c156_g1_i1
cladeA_225	c156_g1_i2
cladeA_226	c157_g1_i1
cladeA_227	c158_g1_i1
cladeA_228	c158_g1_i2
cladeA_229	c159_g1_i1
cladeA_230	c159_g1_i2
cladeA_231	c160_g1_i1
cladeA_232	c161_g1_i1
cladeA_233	c161_g1_i2
cladeA_234	c162_g1_i1
cladeA_235	c163_g1_i1
cladeA_236	c163_g1_i2
cladeA_237	c164_g1_i1
cladeA_238	c165_g1_i1
cladeA_239	c166_g1_i1
cladeA_240	c167_g1_i1
cladeA_241	c167_g1_i2
cladeA_242	c168_g1_i1
cladeA_243	c169_g1_i1
cladeA_244	c170_g1_i1
cladeA_245	c171_g1_i1
cladeA_246	c172_g1_i1
cladeA_247	c172_g1_i2
cladeA_248	c173_g1_i1
cladeA_249	c174_g1_i1
cladeA_250	c175_g1_i1
cladeA_251	c176_g1_i1
cladeA_252	c177_g1_i1
cladeA_253	c178_g1_i1
cladeA_254	c179_g1_i1
cladeA_255	c180_g1_i1
cladeA_256	c180_g1_i2
cladeA_257	c181_g1_i1
cladeA_258	c181_g1_i2
cladeA_259	c182_g1_i1
cladeA_260	c182_g1_i2
cladeA_261	c183_g1_i1
cladeA_262	c184_g1_i1
cladeA_263	c185_g1_i1
cladeA_264	c185_g1_i2
cladeA_265	c186_g1_i1
cladeA_266	c187_g1_i1
cladeA_267	c188_g1_i1
cladeA_268	c188_g1_i2
cladeA_269	c189_g1_i1
cladeA_270	c190_g1_i1
cladeA_271	c191_g1_i1
cladeA_272	c191_g1_i2
cladeA_273	c192_g1_i1
cladeA_274	c192_g1_i2
cladeA_275	c193_g1_i1
cladeA_276	c193_g1_i2
cladeA_277	c194_g1_i1
cladeA_278	c195_g1_i1
cladeA_279	c196_g1_i1
cladeA_280	c196_g1_i2
cladeA_281	c197_g1_i1
cladeA_282	c197_g1_i2
cladeA_283	c198_g1_i1
cladeA_284	c198_g1_i2
cladeA_285	c199_g1_i1
cladeA_286	c199_g1_i2
cladeA_287	c200_g1_i1
cladeA_288	c200_g1_i2
cladeA_289	c201_g1_i1
cladeA_290	c202_g1_i1
cladeA_291	c203_g1_i1
cladeA_292	c203_g1_i2
cladeA_293	c204_g1_i1
cladeA_294	c205_g1_i1
cladeA_295	c206_g1_i1
cladeA_296	c207_g1_i1
cladeA_297	c208_g1_i1
cladeA_298	c209_g1_i1
cladeA_299	c209_g1_i2
cladeA_300	c210_g1_i1
cladeA_301	c210_g1_i2
cladeA_302	c211_g1_i1
cladeA_303	c212_g1_i1
cladeA_304	c212_g1_i2
cladeA_305	c213_g1_i1
cladeA_306	c214_g1_i1
cladeA_307	c215_g1_i1
cladeA_308	c215_g1_i2
cladeA_309	c216_g1_i1
cladeA_310	c216_g1_i2
cladeA_311	c217_g1_i1
cladeA_312	c218_g1_i1
cladeA_313	c218_g1_i2
cladeA_314	c219_g1_i1
cladeA_315	c219_g2_i1
cladeA_316	c220_g1_i1
cladeA_317	c221_g1_i1
cladeA_318	c221_g1_i2
cladeA_319	c222_g1_i1
cladeA_320	c223_g1_i1
cladeA_321	c224_g1_i1
cladeA_322	c225_g1_i1
cladeA_323	c225_g1_i2
cladeA_324	c226_g1_i1
cladeA_325	c228_g1_i1
cladeA_326	c229_g1_i1
cladeA_327	c230_g1_i1
cladeA_328	c231_g1_i1
cladeA_329	c232_g1_i1
cladeA_330	c232_g1_i2
cladeA_331	c233_g1_i1
cladeA_332	c234_g1_i1
cladeA_333	c234_g1_i2
cladeA_334	c235_g1_i1
cladeA_335	c235_g1_i2
cladeA_336	c236_g1_i1
cladeA_337	c237_g1_i1
cladeA_338	c238_g1_i1
cladeA_339	c239_g1_i1
cladeA_340	c240_g1_i1
cladeA_341	c240_g1_i2
cladeA_342	c241_g1_i1
cladeA_343	c242_g1_i1
cladeA_344	c242_g1_i2
cladeA_345	c243_g1_i1
cladeA_346	c244_g1_i1
cladeA_347	c244_g1_i2
cladeA_348	c245_g1_i1
cladeA_349	c246_g1_i1
cladeA_350	c246_g1_i2
cladeA_351	c247_g1_i1
cladeA_352	c248_g1_i1
cladeA_353	c249_g1_i1
