cladeB_1	comp2_c0_seq1
cladeB_2	comp4_c0_seq1
cladeB_3	comp9_c0_seq1
cladeB_4	comp10_c0_seq2
cladeB_5	comp12_c0_seq2
cladeB_6	comp13_c0_seq1
cladeB_7	comp14_c0_seq1
cladeB_8	comp17_c0_seq1
cladeB_9	comp18_c0_seq1
cladeB_10	comp19_c0_seq1
cladeB_11	comp23_c0_seq1
cladeB_12	comp29_c0_seq1
cladeB_13	comp30_c0_seq2
cladeB_14	comp37_c0_seq1
cladeB_15	comp38_c0_seq1
cladeB_16	comp40_c0_seq1
cladeB_17	comp43_c0_seq1
cladeB_18	comp52_c0_seq1
cladeB_19	comp54_c0_seq1
cladeB_20	comp55_c0_seq1
cladeB_21	comp56_c0_seq1
cladeB_22	comp57_c0_seq1
cladeB_23	comp59_c0_seq1
cladeB_24	comp60_c0_seq1
cladeB_25	comp61_c0_seq1
cladeB_26	comp64_c0_seq1
cladeB_27	comp67_c0_seq1
cladeB_28	comp68_c0_seq2
cladeB_29	comp70_c0_seq1
cladeB_30	comp71_c0_seq2
cladeB_31	comp72_c0_seq1
cladeB_32	comp73_c0_seq1
cladeB_33	comp76_c0_seq2
cladeB_34	comp78_c0_seq2
cladeB_35	comp80_c0_seq1
cladeB_36	comp81_c0_seq1
cladeB_37	comp82_c0_seq1
cladeB_38	comp84_c0_seq2
cladeB_39	comp86_c0_seq1
cladeB_40	comp87_c0_seq1
cladeB_41	comp89_c0_seq1
cladeB_42	comp97_c0_seq1
cladeB_43	comp98_c0_seq1
cladeB_44	comp100_c0_seq1
cladeB_45	comp106_c0_seq1
cladeB_46	comp107_c0_seq1
cladeB_47	comp109_c0_seq1
cladeB_48	comp111_c0_seq1
cladeB_49	comp113_c0_seq1
cladeB_50	comp114_c0_seq1
cladeB_51	comp115_c0_seq1
cladeB_52	comp117_c0_seq1
cladeB_53	comp121_c0_seq1
cladeB_54	comp123_c0_seq1
cladeB_55	comp126_c0_seq1
cladeB_56	comp128_c0_seq1
cladeB_57	comp131_c0_seq1
cladeB_58	comp134_c0_seq1
cladeB_59	comp135_c0_seq1
cladeB_60	comp137_c0_seq2
cladeB_61	comp141_c0_seq1
cladeB_62	comp142_c0_seq1
cladeB_63	comp144_c0_seq1
cladeB_64	comp146_c0_seq1
cladeB_65	comp147_c0_seq1
cladeB_66	comp151_c0_seq1
cladeB_67	comp152_c0_seq1
cladeB_68	comp158_c0_seq1
cladeB_69	comp159_c0_seq1
cladeB_70	comp160_c0_seq1
cladeB_71	comp162_c0_seq1
cladeB_72	comp163_c0_seq1
cladeB_73	comp167_c0_seq1
cladeB_74	comp169_c0_seq1
cladeB_75	comp170_c0_seq1
cladeB_76	comp172_c0_seq1
cladeB_77	comp174_c0_seq1
cladeB_78	comp175_c0_seq1
cladeB_79	comp177_c0_seq1
cladeB_80	comp178_c0_seq1
cladeB_81	comp179_c0_seq1
cladeB_82	comp184_c0_seq1
cladeB_83	comp188_c0_seq1
cladeB_84	comp191_c0_seq1
cladeB_85	comp194_c0_seq1
cladeB_86	comp197_c0_seq1
cladeB_87	comp200_c0_seq1
cladeB_88	comp207_c0_seq1
cladeB_89	comp208_c0_seq1
cladeB_90	comp210_c0_seq1
cladeB_91	comp211_c0_seq1
cladeB_92	comp216_c0_seq1
cladeB_93	comp220_c0_seq1
cladeB_94	comp223_c0_seq1
cladeB_95	comp226_c0_seq1
cladeB_96	comp232_c0_seq1
cladeB_97	comp233_c0_seq1
cladeB_98	comp235_c0_seq1
cladeB_99	comp236_c0_seq1
cladeB_100	comp240_c0_seq1
cladeB_101	comp241_c0_seq1
cladeB_102	comp243_c0_seq1
cladeB_103	comp244_c0_seq1
cladeB_104	comp247_c0_seq1
cladeB_105	comp250_c0_seq1
cladeB_106	comp253_c0_seq1
cladeB_107	comp254_c0_seq1
cladeB_108	comp256_c0_seq1
cladeB_109	comp262_c0_seq1
cladeB_110	comp264_c0_seq1
cladeB_111	comp267_c0_seq1
cladeB_112	comp268_c0_seq1
cladeB_113	comp271_c0_seq1
cladeB_114	comp273_c0_seq1
cladeB_115	comp274_c0_seq1
cladeB_116	comp275_c0_seq1
cladeB_117	comp278_c0_seq1
cladeB_118	comp280_c0_seq1
cladeB_119	comp283_c0_seq1
cladeB_120	comp287_c0_seq1
cladeB_121	comp289_c0_seq1
cladeB_122	comp291_c0_seq1
cladeB_123	comp292_c0_seq1
cladeB_124	comp298_c0_seq1
cladeB_125	comp299_c0_seq1
cladeB_126	comp301_c0_seq1
cladeB_127	comp303_c0_seq1
cladeB_128	comp305_c0_seq1
cladeB_129	comp306_c0_seq1
cladeB_130	comp307_c0_seq1
cladeB_131	comp311_c0_seq1
cladeB_132	comp315_c0_seq1
cladeB_133	comp317_c0_seq1
cladeB_134	comp318_c0_seq1
cladeB_135	comp320_c0_seq1
cladeB_136	comp322_c0_seq1
cladeB_137	comp324_c0_seq1
cladeB_138	comp325_c0_seq1
cladeB_139	comp328_c0_seq1
cladeB_140	comp329_c0_seq1
cladeB_141	comp332_c0_seq1
cladeB_142	comp334_c0_seq1
cladeB_143	comp340_c0_seq1
cladeB_144	comp341_c0_seq1
cladeB_145	comp345_c0_seq1
cladeB_146	comp347_c0_seq1
cladeB_147	comp349_c0_seq1
cladeB_148	comp351_c0_seq1
cladeB_149	comp352_c0_seq1
cladeB_150	comp353_c0_seq1
cladeB_151	comp354_c0_seq2
cladeB_152	comp361_c0_seq1
cladeB_153	comp363_c0_seq1
cladeB_154	comp364_c0_seq1
cladeB_155	comp365_c0_seq1
cladeB_156	comp366_c0_seq1
cladeB_157	comp369_c0_seq1
cladeB_158	comp381_c0_seq1
cladeB_159	comp382_c0_seq1
cladeB_160	comp383_c0_seq1
cladeB_161	comp386_c0_seq1
cladeB_162	comp387_c0_seq1
cladeB_163	comp389_c0_seq1
cladeB_164	comp391_c0_seq1
cladeB_165	comp393_c0_seq1
cladeB_166	comp394_c0_seq1
cladeB_167	comp397_c0_seq1
cladeB_168	comp400_c0_seq1
cladeB_169	comp401_c0_seq1
cladeB_170	comp404_c0_seq1
cladeB_171	comp412_c0_seq2
cladeB_172	comp416_c0_seq1
cladeB_173	comp417_c0_seq1
cladeB_174	comp420_c0_seq1
cladeB_175	comp423_c0_seq1
cladeB_176	comp424_c0_seq1
cladeB_177	comp426_c0_seq1
cladeB_178	comp432_c0_seq1
cladeB_179	comp433_c0_seq2
cladeB_180	comp435_c0_seq1
cladeB_181	comp442_c0_seq1
cladeB_182	comp444_c0_seq1
cladeB_183	comp445_c0_seq2
cladeB_184	comp448_c0_seq1
cladeB_185	comp452_c0_seq1
cladeB_186	comp458_c0_seq1
cladeB_187	comp459_c0_seq1
cladeB_188	comp462_c0_seq1
cladeB_189	comp464_c0_seq1
cladeB_190	comp467_c0_seq1
cladeB_191	comp468_c0_seq1
cladeB_192	comp470_c0_seq1
cladeB_193	comp471_c0_seq1
cladeB_194	comp473_c0_seq1
cladeB_195	comp474_c0_seq1
cladeB_196	comp475_c0_seq1
cladeB_197	comp476_c0_seq1
cladeB_198	comp477_c0_seq1
cladeB_199	comp479_c0_seq1
cladeB_200	comp481_c0_seq1
cladeB_201	comp482_c0_seq1
cladeB_202	comp483_c0_seq1
cladeB_203	comp494_c0_seq1
cladeB_204	comp496_c0_seq1
cladeB_205	comp498_c0_seq1
cladeB_206	comp500_c0_seq1
cladeB_207	comp504_c0_seq1
cladeB_208	comp506_c0_seq1
cladeB_209	comp508_c0_seq1
cladeB_210	comp510_c0_seq1
cladeB_211	comp515_c0_seq1
cladeB_212	comp520_c0_seq1
cladeB_213	comp525_c0_seq1
cladeB_214	comp526_c0_seq1
cladeB_215	comp527_c0_seq1
cladeB_216	comp529_c0_seq1
cladeB_217	comp530_c0_seq1
cladeB_218	comp533_c0_seq1
cladeB_219	comp535_c0_seq1
cladeB_220	comp536_c0_seq1
cladeB_221	comp537_c0_seq2
cladeB_222	comp538_c0_seq1
cladeB_223	comp539_c0_seq2
cladeB_224	comp540_c0_seq1
cladeB_225	comp541_c0_seq1
cladeB_226	comp542_c0_seq1
cladeB_227	comp544_c0_seq1
cladeB_228	comp545_c0_seq1
cladeB_229	comp551_c0_seq1
cladeB_230	comp552_c0_seq1
cladeB_231	comp553_c0_seq1
cladeB_232	comp555_c0_seq1
cladeB_233	comp557_c0_seq1
cladeB_234	comp559_c0_seq1
cladeB_235	comp561_c0_seq1
cladeB_236	comp562_c0_seq1
cladeB_237	comp564_c0_seq1
cladeB_238	comp567_c0_seq1
cladeB_239	comp568_c0_seq1
cladeB_240	comp570_c0_seq2
cladeB_241	comp571_c0_seq1
cladeB_242	comp576_c0_seq1
cladeB_243	comp578_c0_seq1
cladeB_244	comp579_c0_seq1
cladeB_245	comp580_c0_seq1
cladeB_246	comp582_c0_seq1
cladeB_247	comp585_c0_seq1
cladeB_248	comp591_c0_seq1
cladeB_249	comp598_c0_seq1
cladeB_250	comp599_c0_seq1
cladeB_251	comp601_c0_seq1
cladeB_252	comp603_c0_seq1
cladeB_253	comp605_c0_seq1
cladeB_254	comp606_c0_seq1
cladeB_255	comp608_c0_seq1
cladeB_256	comp609_c0_seq1
cladeB_257	comp611_c0_seq1
cladeB_258	comp612_c0_seq1
cladeB_259	comp613_c0_seq1
cladeB_260	comp614_c0_seq2
cladeB_261	comp616_c0_seq1
cladeB_262	comp618_c0_seq1
cladeB_263	comp620_c0_seq1
