sample	sex	species
G.hol._2F_T	F	Gambusia holbrooki
G.hol._3F_T	F	Gambusia holbrooki
G.hol._4F_T	F	Gambusia holbrooki
G.hol._6M_T	M	Gambusia holbrooki
G.hol._7M_T	M	Gambusia holbrooki
G.hol._8M_T	M	Gambusia holbrooki
P.lat._1F_T	F	Poecilia latipinna
P.lat._2F_T	F	Poecilia latipinna
P.lat._3M_T	M	Poecilia latipinna
P.lat._4M_T	M	Poecilia latipinna
P.lat._6F_T	F	Poecilia latipinna
P.lat._7M_T	M	Poecilia latipinna
P.pic._1F_T	F	Micropoecilia picta
P.pic._2F_T	F	Micropoecilia picta
P.pic._3M_T	M	Micropoecilia picta
P.pic._4F_T	F	Micropoecilia picta
P.pic._5M_T	M	Micropoecilia picta
P.pic._6M_T	M	Micropoecilia picta
Pwin_T_F013	F	Poecilia wingei
Pwin_T_F014	F	Poecilia wingei
Pwin_T_F015	F	Poecilia wingei
Pwin_T_M005	M	Poecilia wingei
Pwin_T_M006	M	Poecilia wingei
Pwin_T_M007	M	Poecilia wingei
SRR5034717	M	Poecilia reticulata
SRR5034720	M	Poecilia reticulata
SRR5034723	M	Poecilia reticulata
SRR5034729	F	Poecilia reticulata
SRR5034733	M	Poecilia reticulata
SRR5034735	M	Poecilia reticulata
SRR5034740	M	Poecilia reticulata
SRR5034741	F	Poecilia reticulata
SRR5034742	M	Poecilia reticulata
SRR5034744	M	Poecilia reticulata
SRR5034747	M	Poecilia reticulata
SRR5034749	F	Poecilia reticulata
SRR5034751	M	Poecilia reticulata
SRR5034754	M	Poecilia reticulata
SRR5034756	F	Poecilia reticulata
