orthogroup	kept	collapsed
ORTHOMCL0	cladeA_54096.p1	cladeA_50082.p1
ORTHOMCL0	cladeA_54096.p1	cladeA_31707.p1
ORTHOMCL0	cladeA_54096.p1	cladeA_31234.p1
ORTHOMCL0	cladeA_36707.p1	cladeA_41610.p1
ORTHOMCL0	cladeA_36707.p1	cladeA_48203.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_13570.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_55459.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_24054.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_48267.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_49523.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_14113.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_28187.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_55636.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_12230.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_40433.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_947.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_28190.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_53450.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_57027.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_17697.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_41868.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_34235.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_28174.p2
ORTHOMCL0	cladeA_56203.p1	cladeA_25984.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_28183.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_28530.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_42473.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_11.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_9690.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_52658.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_11739.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_11738.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_47855.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_4277.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_12482.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_28189.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_39656.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_34575.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_38036.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_27203.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_41823.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_41411.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_49171.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_27650.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_26402.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_28533.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_28528.p1
